Site,TotalCostsGBP,OccupiedArea(m2),OfficeFTEStaff,Workstations,CostPerFTEGBP,m2PerFTE,CostPerm2GBP,SqMPerWorkstation
Aviation House,4375059,3497,320,358,13672,10.9,1251,9.8
St Magnus House,403859,1041,74,82,5458,14.1,388,12.7
Southgate House,160532,394,32,32,5017,12.3,407,12.3
Clarendon Quay,208469,511,40,45,5212,12.8,408,11.4
Foss House,532859,1273,182,207,2928,7,419,6.1
