Site,TotalCostsGBP,OccupiedArea(m2),OfficeFTEStaff,Workstations,CostPerFTEGBP,m2PerFTE,CostPerm2GBP,SqMPerWorkstation
Clive House,1875181,1755,172,181,10902,10.2,1068,9.7
St Magnus House,,,,,,,,
Southgate House,172461,394,33,37,5226,11.9,438,10.6
Clarendon Quay,198988,427,49,48,4061,8.7,466,8.9
Foss House,483240,789.86,90,102,5369,8.8,612,7.7
