Site,TotalCostsGBP,OccupiedArea(m2),OfficeFTEStaff,Workstations,CostPerFTEGBP,m2PerFTE,CostPerm2GBP,SqMPerWorkstation
Aviation House,5369325,4657,378,400,14205,12.3,1153,11.6
St Magnus House,326154,1041,74,82,4407,14.1,313,12.7
Southgate House,171567,394,30,44,5719,13.1,435,9
Clarendon Quay,208935,553,42,44,4975,13.2,378,12.6
Foss House,665714,1273,180,210,3698,7.1,523,6.1
