Site,TotalCostsGBP,OccupiedArea(m2),OfficeFTEStaff,Workstations,CostPerFTEGBP,m2PerFTE,CostPerm2GBP,SqMPerWorkstation
Aviation House,4585278,2478,291,250,15757,8.5,1850,9.9
St Magnus House,,,,,,,,
Southgate House,131977,394,30,32,4399,13.1,335,12.3
Clarendon Quay,195465,427,44,48,4442,9.7,458,8.9
Foss House,809565,1273,137,207,5909,9.3,636,6.1
