Site,TotalCostsGBP,OccupiedArea(m2),OfficeFTEStaff,Workstations,CostPerFTEGBP,m2PerFTE,CostPerm2GBP,SqMPerWorkstation
Aviation House,3848084,2898,318,292,12101,9.1,1328,9.9
St Magnus House,463700,1041,76,83,6101,13.7,445,12.5
Southgate House,150100,394,31,32,4842,12.7,381,12.3
Clarendon Quay,234000,511,39,45,6000,13.1,458,11.4
Foss House,737399,1273,187,211,3943,6.8,579,6
